Sno,SensorId,Temperature,PH,EC,Mortality,DateTime
627,220,23.44,8.13,1.54,1,2022-04-26T09:39:40.8700000
628,220,23.44,8.11,1.54,1,2022-04-26T09:54:41.2770000
629,220,23.44,7.75,2.08,1,2022-04-26T10:09:40.7300000
630,220,23.44,7.86,2.02,0,2022-04-26T10:24:40.8800000
631,220,23.44,8.11,1.66,0,2022-04-26T10:39:40.7870000
632,220,23.44,8.13,1.52,0,2022-04-26T10:54:40.9400000
633,220,23.44,8.13,1.52,0,2022-04-26T11:09:40.8430000
634,220,23.44,7.72,2.08,0,2022-04-26T11:24:40.7530000
635,220,23.44,7.97,1.9,0,2022-04-26T11:39:40.7530000
636,220,23.44,8.19,1.49,0,2022-04-26T11:54:40.8570000
637,220,23.44,8.13,1.52,0,2022-04-26T12:09:40.9000000
638,220,23.44,7.69,2.17,0,2022-04-26T12:24:40.8700000
639,220,23.44,8.13,1.49,0,2022-04-26T12:39:40.8270000
640,220,23.44,8.13,1.43,0,2022-04-26T12:54:40.8000000
641,220,23.44,7.72,2.14,0,2022-04-26T13:09:40.8670000
642,220,23.44,8.02,1.78,0,2022-04-26T13:24:40.8270000
643,220,23.44,8.19,1.52,0,2022-04-26T13:39:40.7900000
644,220,23.44,8.02,1.54,0,2022-04-26T13:54:40.9970000
645,220,23.44,7.75,2.17,0,2022-04-26T14:09:40.8400000
646,220,23.44,8.19,1.52,0,2022-04-26T14:24:40.8430000
647,220,23.44,8.13,1.52,0,2022-04-26T14:39:40.8830000
648,220,23.44,7.72,2.08,0,2022-04-26T14:54:40.9800000
649,220,23.44,8.13,1.66,0,2022-04-26T15:09:40.8900000
650,220,23.44,8.13,1.52,0,2022-04-26T15:24:40.9170000
651,220,23.44,7.78,1.99,0,2022-04-26T15:39:40.8800000
652,220,23.44,8.08,1.72,0,2022-04-26T15:54:40.9170000
653,220,23.44,8.13,1.52,0,2022-04-26T16:09:41.0130000
654,220,23.44,7.72,2.08,0,2022-04-26T16:24:40.8770000
655,220,23.44,8.16,1.49,0,2022-04-26T16:39:40.9000000
656,220,23.44,8.08,1.54,0,2022-04-26T16:54:41.1170000
657,220,23.44,7.75,2.17,0,2022-04-26T17:09:41.0730000
658,220,23.44,8.13,1.49,0,2022-04-26T17:24:40.8530000
659,220,23.44,8.13,1.49,0,2022-04-26T17:39:40.8700000
660,220,23.44,7.72,2.17,0,2022-04-26T17:54:40.9700000
661,220,23.44,8.19,1.52,0,2022-04-26T18:09:40.9770000
662,220,23.44,8.13,1.54,0,2022-04-26T18:24:40.8700000
663,220,23.44,7.69,2.17,0,2022-04-26T18:39:40.9100000
664,220,23.44,8.16,1.49,0,2022-04-26T18:54:40.9070000
665,220,23.44,8.11,1.54,0,2022-04-26T19:09:40.9370000
666,220,23.44,7.75,2.14,0,2022-04-26T19:24:40.8670000
667,220,23.44,8.13,1.43,0,2022-04-26T19:39:40.8970000
668,220,23.44,7.83,1.99,0,2022-04-26T19:54:40.9200000
669,220,23.44,8.16,1.46,0,2022-04-26T20:09:40.9230000
670,220,23.44,7.89,1.81,0,2022-04-26T20:24:40.9130000
671,220,23.37,8.16,1.63,0,2022-04-26T20:39:40.9400000
672,220,23.44,8.13,1.52,0,2022-04-26T20:54:40.9170000
673,220,23.44,7.89,1.99,0,2022-04-26T21:09:40.9900000
674,220,23.37,8.13,1.52,0,2022-04-26T21:24:41.0100000
675,220,23.44,7.72,2.17,0,2022-04-26T21:39:40.9370000
676,220,23.44,8.19,1.46,0,2022-04-26T21:54:40.9630000
677,220,23.44,8,1.6,0,2022-04-26T22:09:41.0200000
678,220,23.44,8,1.81,0,2022-04-26T22:24:41.0430000
679,220,23.44,8.13,1.54,0,2022-04-26T22:39:41.0670000
680,220,23.44,7.94,1.87,0,2022-04-26T22:54:41.0030000
681,220,23.44,8.13,1.54,0,2022-04-26T23:09:41.0100000
682,220,23.44,7.72,2.23,0,2022-04-26T23:24:40.9870000
683,220,23.44,8.13,1.49,0,2022-04-26T23:39:41.0270000
684,220,23.44,7.91,1.78,0,2022-04-26T23:54:41.0030000
685,220,23.44,8.02,1.81,0,2022-04-27T00:09:41.2700000
686,220,23.44,8.13,1.49,0,2022-04-27T00:24:41.0030000
